1	 1	  -2.493270	 -14.704000	   0.970000	   0.500000	   0.500000	   0.000000
1	 1	   6.820990	   0.744010	   0.970000	   0.500000	   0.500000	   0.000000
1	 1	   6.510520	   4.766930	   0.970000	   0.500000	   0.500000	   0.000000
2	 1	 -19.550400	 -11.333200	   1.230000	   0.500000	   0.500000	   0.000000
2	 1	 -15.414200	   0.312170	   1.230000	   0.500000	   0.500000	   0.000000
2	 1	  -7.242660	  19.805500	   1.230000	   0.500000	   0.500000	   0.000000
3	 1	 -24.120600	  -8.432330	   1.290000	   0.500000	   0.500000	   0.000000
3	 1	 -24.600300	   1.947240	   1.290000	   0.500000	   0.500000	   0.000000
3	 1	 -10.090200	  22.706400	   1.290000	   0.500000	   0.500000	   0.000000
4	 1	 -38.736800	  -0.410700	   1.600000	   0.500000	   0.500000	   0.000000
4	 1	 -38.080800	   6.672600	   1.600000	   0.500000	   0.500000	   0.000000
4	 1	 -25.725000	  26.373100	   1.600000	   0.500000	   0.500000	   0.000000
5	 1	  -3.792340	 -18.017600	   1.680000	   0.500000	   0.500000	   0.000000
5	 1	   5.568510	 -10.841000	   1.680000	   0.500000	   0.500000	   0.000000
5	 1	   8.480770	  20.361800	   1.680000	   0.500000	   0.500000	   0.000000
6	 1	 -27.087800	  -6.568590	   1.630000	   0.500000	   0.500000	   0.000000
6	 1	 -28.226500	  -0.576050	   1.630000	   0.500000	   0.500000	   0.000000
6	 1	  -8.704790	  28.530600	   1.630000	   0.500000	   0.500000	   0.000000
7	 1	 -13.227900	 -26.770400	   1.700000	   0.500000	   0.500000	   0.000000
7	 1	   9.038150	  -0.101340	   1.700000	   0.500000	   0.500000	   0.000000
7	 1	   4.069700	  14.233300	   1.700000	   0.500000	   0.500000	   0.000000
8	 1	 -36.166600	  -7.247250	   2.000000	   0.500000	   0.500000	   0.000000
8	 1	 -36.592300	   6.422660	   2.000000	   0.500000	   0.500000	   0.000000
8	 1	 -19.423300	  29.602100	   2.000000	   0.500000	   0.500000	   0.000000
9	 1	   8.743760	 -23.091000	   2.190000	   0.500000	   0.500000	   0.000000
9	 1	  14.932600	 -17.317600	   2.190000	   0.500000	   0.500000	   0.000000
9	 1	  20.422800	  12.415500	   2.190000	   0.500000	   0.500000	   0.000000
10	 1	 -29.280300	 -24.659300	   2.470000	   0.500000	   0.500000	   0.000000
10	 1	 -27.100500	  12.192000	   2.470000	   0.500000	   0.500000	   0.000000
10	 1	 -12.795400	  23.953100	   2.470000	   0.500000	   0.500000	   0.000000
11	 1	 -29.758600	 -11.299500	   2.470000	   0.500000	   0.500000	   0.000000
11	 1	 -32.127400	   2.118660	   2.470000	   0.500000	   0.500000	   0.000000
11	 1	  -8.635900	  32.486100	   2.470000	   0.500000	   0.500000	   0.000000
12	 1	 -37.049200	 -14.585000	   2.630000	   0.500000	   0.500000	   0.000000
12	 1	 -35.951200	  12.450600	   2.630000	   0.500000	   0.500000	   0.000000
12	 1	 -20.716400	  29.525600	   2.630000	   0.500000	   0.500000	   0.000000
13	 1	  -0.342310	 -28.999600	   2.920000	   0.500000	   0.500000	   0.000000
13	 1	  19.349300	 -12.859600	   2.920000	   0.500000	   0.500000	   0.000000
13	 1	  19.854200	  14.157500	   2.920000	   0.500000	   0.500000	   0.000000
14	 1	 -49.111800	   1.144080	   3.140000	   0.500000	   0.500000	   0.000000
14	 1	 -46.460500	  14.754100	   3.140000	   0.500000	   0.500000	   0.000000
14	 1	 -36.597600	  31.828500	   3.140000	   0.500000	   0.500000	   0.000000
15	 1	 -17.636800	 -28.531200	   3.250000	   0.500000	   0.500000	   0.000000
15	 1	  11.219000	  -5.971060	   3.250000	   0.500000	   0.500000	   0.000000
15	 1	  -2.153180	  -0.331010	   3.250000	   0.500000	   0.500000	   0.000000
15	 1	  -7.548980	   0.970540	   3.250000	   0.500000	   0.500000	   0.000000
15	 1	   1.835020	  25.266100	   3.250000	   0.500000	   0.500000	   0.000000
16	 1	  -5.852150	 -29.010100	   3.310000	   0.500000	   0.500000	   0.000000
16	 1	  16.900900	 -12.408100	   3.310000	   0.500000	   0.500000	   0.000000
16	 1	  15.573600	  19.610000	   3.310000	   0.500000	   0.500000	   0.000000
17	 1	 -21.483600	 -37.529600	   3.190000	   0.500000	   0.500000	   0.000000
17	 1	   0.568820	   3.727890	   3.190000	   0.500000	   0.500000	   0.000000
17	 1	   7.606830	   4.569880	   3.190000	   0.500000	   0.500000	   0.000000
17	 1	  -9.988180	   8.358840	   3.190000	   0.500000	   0.500000	   0.000000
17	 1	  -2.011780	  15.094800	   3.190000	   0.500000	   0.500000	   0.000000
18	 1	 -19.648600	 -28.511900	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	   9.708590	  -5.283320	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	  -0.636310	  -0.816280	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	 -12.379200	   1.863940	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	 -19.369000	   3.204060	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	 -24.681200	   5.884290	   3.450000	   0.500000	   0.500000	   0.000000
18	 1	  -0.077130	  26.432700	   3.450000	   0.500000	   0.500000	   0.000000
19	 1	 -34.618000	 -12.716600	   3.550000	   0.500000	   0.500000	   0.000000
19	 1	 -37.250000	   4.875190	   3.550000	   0.500000	   0.500000	   0.000000
19	 1	 -12.954400	  34.322300	   3.550000	   0.500000	   0.500000	   0.000000
